Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production,Cov_PDO_Summer,Cov_SOI_Summer,Cov_UWI_Summer,Cov_NPGO_Summer,Cov_SST_Summer,Cov_PDO_Winter,Cov_SOI_Winter,Cov_UWI_Winter,Cov_NPGO_Winter,Cov_SST_Winter,Cov_PDO_Summer_BY1,Cov_SOI_Summer_BY1,Cov_UWI_Summer_BY1,Cov_NPGO_Summer_BY1,Cov_SST_Summer_BY1,Cov_PDO_Winter_BY1,Cov_SOI_Winter_BY1,Cov_UWI_Winter_BY1,Cov_NPGO_Winter_BY1,Cov_SST_Winter_BY1
Sky_fing,Chinook,Terminal_Run,2022,2006,2004,2,NA,NA,336.7253886,NA,NA,NA,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175
,,,,2007,2005,2,NA,NA,12.17407485,NA,NA,NA,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775
,,,,2008,2006,2,NA,NA,77.10448301,NA,NA,NA,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025
,,,,2009,2007,2,NA,NA,8.072186482,NA,NA,NA,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625
,,,,2010,2008,2,NA,NA,76.48724216,NA,NA,NA,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455
,,,,2011,2009,2,NA,NA,13.98412698,NA,NA,NA,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667
,,,,2012,2010,2,NA,NA,9.255639098,NA,NA,NA,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725
,,,,2013,2011,2,NA,NA,9.346733668,NA,NA,NA,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07
,,,,2014,2012,2,NA,NA,99.24,NA,NA,NA,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8
,,,,2015,2013,2,NA,NA,21.22767857,NA,NA,NA,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615
,,,,2016,2014,2,NA,NA,99.97307692,NA,NA,NA,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935
,,,,2017,2015,2,NA,NA,47.89699571,NA,NA,NA,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82
,,,,2018,2016,2,NA,NA,120.6262136,NA,NA,NA,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069
,,,,2019,2017,2,NA,NA,13.54761905,NA,NA,NA,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055
,,,,2020,2018,2,NA,NA,256.2162162,NA,NA,NA,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055,5.1507,-2.6,54.75,-10.9430404,10.802,1.3096,-0.7,-176.75,-6.50556754,8.585
,,,,2021,2019,2,NA,NA,10.21678322,NA,NA,NA,5.1507,-2.6,54.75,-10.9430404,10.802,1.3096,-0.7,-176.75,-6.50556754,8.585,1.1349,2.4,-33.5,-7.409014,10.69,2.214,-0.6,-196.25,-8.2456643,8.0275
,,,,2006,2003,3,NA,NA,408.880829,NA,NA,NA,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475
,,,,2007,2004,3,NA,NA,523.4852186,NA,NA,NA,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175
,,,,2008,2005,3,NA,NA,424.0746566,NA,NA,NA,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775
,,,,2009,2006,3,NA,NA,80.72186482,NA,NA,NA,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025
,,,,2010,2007,3,NA,NA,76.48724216,NA,NA,NA,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625
,,,,2011,2008,3,NA,NA,55.93650794,NA,NA,NA,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455
,,,,2012,2009,3,NA,NA,481.2932331,NA,NA,NA,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667
,,,,2013,2010,3,NA,NA,46.73366834,NA,NA,NA,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725
,,,,2014,2011,3,NA,NA,165.4,NA,NA,NA,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07
,,,,2015,2012,3,NA,NA,247.65625,NA,NA,NA,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8
,,,,2016,2013,3,NA,NA,636.1923077,NA,NA,NA,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615
,,,,2017,2014,3,NA,NA,263.4334764,NA,NA,NA,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935
,,,,2018,2015,3,NA,NA,526.368932,NA,NA,NA,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82
,,,,2019,2016,3,NA,NA,149.0238095,NA,NA,NA,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069
,,,,2020,2017,3,NA,NA,149.4594595,NA,NA,NA,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055
,,,,2021,2018,3,NA,NA,388.2377622,NA,NA,NA,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055,5.1507,-2.6,54.75,-10.9430404,10.802,1.3096,-0.7,-176.75,-6.50556754,8.585
,,,,2006,2002,4,NA,NA,2429.233161,NA,NA,NA,2.2313,-3.1,13,5.72651544,10.884,2.4016,0.5,-238.75,7.9592735,8.0425,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667
,,,,2007,2003,4,NA,NA,584.3555929,NA,NA,NA,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475
,,,,2008,2004,4,NA,NA,3122.731562,NA,NA,NA,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175
,,,,2009,2005,4,NA,NA,831.4352077,NA,NA,NA,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775
,,,,2010,2006,4,NA,NA,548.1585688,NA,NA,NA,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025
,,,,2011,2007,4,NA,NA,461.4761905,NA,NA,NA,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625
,,,,2012,2008,4,NA,NA,1406.857143,NA,NA,NA,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455
,,,,2013,2009,4,NA,NA,1252.462312,NA,NA,NA,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667
,,,,2014,2010,4,NA,NA,446.58,NA,NA,NA,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725
,,,,2015,2011,4,NA,NA,771.2723214,NA,NA,NA,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07
,,,,2016,2012,4,NA,NA,1199.676923,NA,NA,NA,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8
,,,,2017,2013,4,NA,NA,2059.570815,NA,NA,NA,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615
,,,,2018,2014,4,NA,NA,1217.228155,NA,NA,NA,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935
,,,,2019,2015,4,,,325.1428571,,,,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82
,,,,2020,2016,4,,,1270.405405,,,,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069
,,,,2021,2017,4,,,725.3916084,,,,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055
,,,,2006,2001,5,,,384.8290155,,,,4.5503,-0.6,-82.75,9.6117051,10.914,1.2945,4.4,-408,10.3717496,7.9425,2.2313,-3.1,13,5.72651544,10.884,2.4016,0.5,-238.75,7.9592735,8.0425
,,,,2007,2002,5,,,194.7851976,,,,2.2313,-3.1,13,5.72651544,10.884,2.4016,0.5,-238.75,7.9592735,8.0425,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667
,,,,2008,2003,5,,,154.208966,,,,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475
,,,,2009,2004,5,,,72.64967834,,,,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175
,,,,2010,2005,5,,,395.1840845,,,,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775
,,,,2011,2006,5,,,41.95238095,,,,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025
,,,,2012,2007,5,,,185.112782,,,,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625
,,,,2013,2008,5,,,233.6683417,,,,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455
,,,,2014,2009,5,,,545.82,,,,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667
,,,,2015,2010,5,,,106.1383929,,,,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725
,,,,2016,2011,5,,,136.3269231,,,,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07
,,,,2017,2012,5,,,167.639485,,,,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8
,,,,2018,2013,5,,,120.6262136,,,,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615
,,,,2019,2014,5,,,33.86904762,,,,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935
,,,,2020,2015,5,,,21.35135135,,,,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82
,,,,2021,2016,5,,,81.73426573,,,,5.5072,3.3,59.25,-3.44304926,11.4117931,5.9854,-4.9,-566.25,0.53659785,8.82,3.6238,1.8,-8.25,-2.2541211,11.262,2.2897,1.3,-159.5,-3.37205926,7.64112069
